sample_index,filename,gpt_Accuracy,gpt_Clarity,gpt_Relevance,gpt_Completeness,gpt_Usefulness,gemini_Accuracy,gemini_Clarity,gemini_Relevance,gemini_Completeness,gemini_Usefulness,qwen_Accuracy,qwen_Clarity,qwen_Relevance,qwen_Completeness,qwen_Usefulness
1,054.png,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,076.png,4,4,4,3,3,4,5,4,4,4,4,3,4,3,3
3,10.png,3,3,4,3,3,4,5,5,4,5,2,3,4,3,3
4,104.png,4,3,4,4,3,3,4,4,4,3,3,3,4,3,3
5,15-1.png,4,3,4,4,3,4,4,5,4,4,4,2,3,4,3
6,2.png,3,3,3,3,3,5,4,5,4,5,3,2,2,3,3
7,21-2.png,4,2,3,3,3,4,4,4,4,4,2,3,3,3,3
8,24.png,4,3,4,3,3,5,4,4,4,4,3,2,2,3,2
9,26-1.png,4,4,4,4,4,4,4,4,4,5,2,2,2,2,2
10,38.png,4,5,4,4,4,4,5,4,4,4,2,2,2,2,2
11,39.png,3,3,3,3,3,2,3,3,3,2,2,2,3,3,2
12,40.png,2,2,3,2,3,5,4,4,5,4,3,2,2,3,3
13,41.png,3,4,4,3,3,5,4,4,5,4,2,2,2,3,2
14,43.png,3,2,3,2,2,5,4,4,4,4,1,2,2,2,2
15,5.png,4,4,4,3,3,4,4,4,5,4,3,4,4,3,3
16,51.png,3,3,3,3,3,5,4,5,4,4,3,3,3,3,3
17,6.png,2,2,3,2,3,5,5,4,5,4,3,4,3,3,3
18,62.png,4,4,3,3,3,5,4,5,4,4,3,3,3,3,3
19,63.png,3,3,4,4,4,5,4,5,4,5,2,3,3,3,3
20,64.png,4,4,4,4,4,4,5,4,4,4,1,2,3,2,2
21,71.png,4,3,4,3,3,5,4,5,5,4,2,2,2,2,2
22,78.png,2,2,2,3,3,2,3,3,2,3,3,3,4,3,3
23,84.png,2,2,3,3,3,2,3,3,2,2,2,3,2,3,3
24,85.png,4,4,4,4,4,5,4,5,5,4,3,3,4,4,4
25,86.png,4,4,3,3,3,4,4,4,5,4,3,3,3,3,2
26,87.png,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3
27,89.png,3,2,3,4,3,3,3,3,3,3,3,2,3,3,2
28,90.png,2,2,2,3,3,2,3,3,3,3,2,2,3,2,2
29,91.png,4,4,4,3,4,2,3,3,3,3,4,4,4,3,3
30,94.png,4,4,3,4,3,5,5,4,4,4,3,3,3,3,3
31,97.png,4,4,3,3,4,5,4,4,4,4,2,2,3,3,3
32,98.png,4,4,3,4,3,4,4,4,4,4,4,3,4,3,3
